"identifiantUnique","nombreAbonnes"
"UCDm3ESfBc6hcKWej5NIWACg",574000
"UC5CA3F_2LalVkbYpJq3MGhw",1610000
"UClWKFXdU50yb6ZGwQXtLlQw",3600000
"UCSD-vpFbn-atzm1dT9uGijA",1810000
"UCiKNvzMjBFowg5Sj6pevymA",149000
"UCENztHCRuf3_ZPweYOJ9vrw",1270000
"UCW8Oog9pSV5i4pC4aEB50dw",384000
"UCjvLQZPeykP25UjBpY6QyAQ",21600
"UCyeer4UbTK9pzZL9_hhCimA",111000
"UCZmtXolnY7-z9HLiBESjkyQ",81000
"UCnwWk1l7wJp6ovooatRUk9w",165000
"UCWYTHeX06gpt4XYumGPrWgA",1390000
"UCXnNibvR_YIdyPs8PZIBoEw",173000
"UCewMTclBJZPaNEfbf-qYMGA",4420000
"UClFZdnkDk_jsMi6zN-MNaAQ",59900
"UCEeQ-cfpT6QfUON3I48q4JQ",137000
"UCqFMzb-4AUf6WAIbl132QKA",2110000
"UC9PfekKMDzLt_tkragAeACw",7190000
"UC0uAeNHLLuAovOTHI-aOZiQ",429000
"UCj4zC1Hfj-uc90FUXzRamNw",2420000
"UCyhtGUi1ZW3Yude4OsSH8pw",286000
"UCDvRBuInAG5WrnTq1NohA_g",92500
"UC4rqhyiTs7XyuODcECvuiiQ",1900000
"UC6CeBt396vF3UE9rzIx5CvQ",28000
"UCBABCFhPeGFwW8WdjoQjk3Q",361000
"UC9ekmjWEOkTvInHzfii9yUg",205000
"UCHdPYuZqEeYERDV7BKhmN0Q",409000
"UC8YRNHsA69TI2b1Cx85f1tQ",118000
"UCRAEUAmW9kletIzOxhpLRFw",2840000
"UCDwYpJyVXonfK_g-ILZ2CFQ",10500
"UCo9oQdIk1MfcnzypG3UnURA",560000
"UCJ5v_MCY6GNUBTO8-D3XoAg",100000000
"UCX5qMbq8Y9h9TOdFhKUhkrw",2540000
"UCXTCMKXHFCwptU5A5HOqxNg",79900
"UCt5zpwa264A0B-gaYtv1IpA",2060000
"UCjiXtODGCCulmhwypZAWSag",3340000
"UC0JwmCCx3vFHsPAwRP83fVQ",14800
"UCuo113E63Bpuw7y5xfXz5ew",1240000
"UCyxZB7SqkRFqij18X1rDYHQ",956000
"UC101o-vQ2iOj9vr00JUlyKw",4970000
"UCWk4BnTXF5okQ2E3PCcE1jA",16300
"UCFKDEp9si4RmHFWJW1vYsMA",2530000
"UCsgv2QHkT2ljEixyulzOnUQ",3290000
"UCkj8f9sqSKuzn-NyP7Os1ZQ",14100000
"UCoQm-PeHC-cbJclKJYJ8LzA",45500000
"UCGuLVkegm-DlCuCpWr0ElyA",5500000
"UCXs61Ndm1-67HwDZR70g8pQ",1040000
"UC3S6nIDGJ5OtpC-mbvFA8Ew",3180000
"UCt-GOpCw4dOBlIyqL9A1ztA",6720000
"UC69OnigJb6C1hFniHk0JKzw",661000
"UC7YOGHUfC1Tb6E4pudI9STA",604000
"UCWtt3iluurRaYp4yLn-JWKg",1690000
"UCoSjnRDZSFVp88NXE7MenLQ",1000000
"UCI8iQa1hv7oV_Z8D35vVuSg",1020000
"UC1vUksRWfEfd6V4pPDIQ0jw",1720000
"UCI0woU5W7I-uAALDJ-DieKg",51900
"UCFfhvjvRMWDeJhX88dv-EmQ",632000
"UCf_ResXZzE-o18zACUEmyvQ",1540000
"UCrPseYLGpNygVi34QpGNqpA",5760000
"UC8Yf6kUtp5u0m0fZtBUkMRw",34800
"UCZUCESsESsMl15stp8KFvMg",4890000
"UCxlSph-KRZhzuQHBJW5r7fQ",1620000
"UCSn-PqF7wU5gXJRpck4ZQIA",1480000
"UCyu-0ua2ay4SyuTczuCpSQQ",17600
"UCzQUP1qoWDoEbmsQxvdjxgQ",16400000
"UC_q5WZtFp36adwqhKpZzxwQ",8910000
"UC3IZKseVpdzPSBaWxBxundA",74300000
"UCzAYHVWNiYV-9kISbW7-03Q",379000
"UCqFNTlT1d0WEiRVjQBw6JWg",344000
"UCmKKVuZrBfSGiuvtOuipoDA",271000
"UCiBStqXJXhJI9TZXMJ44_Ww",667000
"UC8-Th83bH_thdKZDJCrn88g",31500000
"UCT3v6vL2H5HK4loLMc8pmCw",1380000
"UCh5mLn90vUaB1PbRRx_AiaA",8320000
"UClxaaAzHu1B5EoTtBYea7ig",719000
"UCvyoMrWm0_h_7NDgVlpCxjA",373000
"UCeCl1SgiOslRqRYFbx633Qw",13700
"UCR9Gcq0CMm6YgTzsDxAxjOQ",8490000
"UC6t5dGZr-iXvDiGJ_xBOqRQ",20000
"UCnSWkrRWNQWNhDusoWr_HXQ",6550000
"UCxD81nKTv07z-nUbPPmaKXQ",1290000
"UCqYw-CTd1dU2yGI71sEyqNw",14500000
"UCfq75-6J5seC82CmtLSFxXw",1020000
"UCptwuAv0XQHo1OQUSaO6NHw",1180000
"UCGjBxOlRWV0RNT639EQizZg",11400
"UCjPJlKUnOeaqll8lerO1tGQ",398000
"UCiormkBf3jm6mfb7k0yPbKA",8350000
"UCnnlWFRNKmkwFoW4EisblXg",97600
"UClrxQkp6YmeQW_cApG2b8sA",166000
"UC3M7l8ved_rYQ45AVzS0RGA",1330000
"UCchBatdUMZoMfJ3rIzgV84g",6340000
"UCQANb2YPwAtK-IQJrLaaUFw",2640000
"UCtrrc_ujX2uqVRFqoEcOVNA",25400
"UCOkMTPg5ZfveZlOyafBMhrg",241000
"UCzY_sIOOHeCobumpqJrjdig",10000000
"UCHO_Eepm3AkIcMl1PpbyHAg",51100
"UCwxnpdbpl_sH9oQnKIpoHdw",2770000
"UCLFfUKcmoe51tp0RGvQeGZQ",279000
"UC_tCuH9uVrUP-BqN4lSRwyg",2050000
"UCbpinb1audDINO2U74COFkg",646000
"UCs3o4RhBiP2wcwqkZR2QVLw",188000
"UCCOrp7GPgZA8EGrbOcIAsyQ",4480000
"UCgyDnMiyQ8gAKhY1ZFJDqxg",64700
"UCKjU3KzdbJE1EFcHVqXC3_g",1670000
"UCNwxZoU9bBq-UI3viJZ84FQ",259000
"UCvUlhPxxbR8u7gzb9C7pggw",40000
"UC0dbv9xP65UKL9KuDlTuEYQ",292000
"UC8JAMmKAkp_qcsykOw9MbmA",2850000
"UCHqIieEanq9Q__wAniNG8xw",987000
"UCiXKxvkAVPCi_zO44bCLEtw",2080000
"UCTWNOX8VRkBtevxsPpC3cBA",69000
"UCL86g0rMsUGcFBwPOxe93Bw",152000
"UCJgDzk8RDB_gSsn0ZGxLODA",1030000
"UCr9BJHrQC7eoM-VAFEyjhTA",423000
